id,question,response,label,explanation
1,Što znači kad mažoretkinja radi 'figure-8' pokret sa štapom?,"'Figure-8' znači da štapom kontinuirano iscrtava oblik broja osam ispred ili sa strane tijela, uz kontroliran rad zgloba i podlaktice, bez trzaja i prekida pokreta.",pass,"Odgovor jasno opisuje oblik pokreta, kontinuitet i kontrolu zgloba, što je bit figure-8 tehnike."
2,Što se podrazumijeva pod 'kontrolom štapa' kod mažoretkinja?,"Kontrola štapa znači da mažoretkinja može sigurno držati, okretati, bacati i hvatati štap bez ispadanja, u točnom ritmu i smjeru koji traži koreografija.",pass,"Definicija obuhvaća držanje, okretanje, bacanje, hvatanje i ritam, što su ključni elementi kontrole štapa."
3,Kako se pravilno izvodi bacanje štapa iznad glave?,"Najbolje je samo baciti štap što više u zrak bez previše razmišljanja; ako puno razmišljaš o tehnici, više ćeš griješiti.",fail,"Odgovor potiče nasumično bacanje bez kontrole i potpuno ignorira tehniku i sigurnost, pa je neprecizan i ne koristan."
4,Zašto je važno usklađivanje pokreta s formacijom tima?,"Jer se tako cijeli tim kreće kao jedna cjelina: svi stoje na svojim mjestima, kreću se u zadanim linijama i oblicima, pa koreografija izgleda uredno i čitljivo publici i sucima.",pass,Ispravno objašnjava vizualni učinak i važnost zajedničke slike tima u formaciji.
5,Koliko je važno istezanje u treninzima mažoretkinja?,"Istezanje je jako važno jer povećava fleksibilnost, smanjuje rizik od ozljeda pri visokim udarcima i skokovima te pomaže da pokreti izgledaju mekše i duže.",pass,"Točno navodi glavne razloge: fleksibilnost, prevenciju ozljeda i estetski dojam pokreta."
6,Što znači da mažoretkinja 'drži liniju' tijekom nastupa?,"To znači da stoji i kreće se tako da ostaje u ravnini s ostatkom reda, drži jednak razmak lijevo–desno i ne izlazi naprijed ili natrag iz formacije.",pass,"Odgovor precizno opisuje ravninu, razmak i položaj u formaciji, što je upravo 'držanje linije'."
7,Što je vizualni efekt sinkroniziranih pokreta u koreografiji?,Vizualni efekt sinkroniziranih pokreta je uglavnom jak zvuk bubnjeva i glazbe koji se čuje dok tim nastupa.,fail,"Odgovor govori o zvuku, a pitanje je o vizualnom dojmu; potpuno promašuje temu sinkronizacije pokreta."
8,Kako pravilno uhvatiti štap nakon rotacije u zraku?,"Mažoretkinja prati štap pogledom, postavlja ruku otprilike na mjesto gdje će pasti, hvata ga mekanim prstima i amortizira pokret savijenim laktom kako štap ne bi odskočio ili ispao.",pass,"Odgovor pokriva praćenje pogledom, pozicioniranje ruke i mekano hvatanje s amortizacijom, što čini dobru tehniku hvata."
9,Zašto se koriste osmjesi i izrazi lica u nastupu?,"Osmijesi i izrazi lica naglašavaju energiju i karakter koreografije, pomažu da nastup bude scenski zanimljiviji publici i sucima te ostavljaju profesionalniji dojam.",pass,"Ispravno ističe scenski dojam, komunikaciju s publikom i utjecaj na dojam sudaca."
10,Kojim tehnikama se unapređuje ravnoteža kod okreta?,"Ravnoteža kod okreta dolazi sama od sebe s godinama pa se ne treba posebno vježbati, dovoljno je samo puno vrtjeti se.",fail,"Odgovor je očito netočan i zavaravajući jer ignorira vježbe za core, rad na jednoj nozi i druge standardne tehnike za ravnotežu."
11,Što znači koreografija u mažoret plesu?,"Koreografija je unaprijed osmišljen slijed koraka, pokreta štapa, formacija i prijelaza koji se izvode na određenu glazbu kao jedna cjelina.",pass,"Točno definira koreografiju i navodi ključne sastavnice: koraci, štap, formacije, prijelazi i glazba."
12,Koliko je važna ritmičnost za mažoretkinje?,"Ritmičnost je jako važna jer omogućuje da se svi pokreti izvode u točnom trenutku na glazbu, da tim ostane sinkroniziran i da nastup izgleda uredno i sigurno.",pass,"Odgovor jasno povezuje ritam s točnošću pokreta, sinkronizacijom tima i ukupnim dojmom nastupa."
13,Koje su sigurnosne mjere pri učenju novih trikova sa štapom?,"Treba se dobro zagrijati, vježbati prvo niža bacanja na mekšoj podlozi, imati dovoljno prostora oko sebe i raditi pod nadzorom trenera ili iskusnije mažoretkinje.",pass,"Odgovor navodi ključne mjere: zagrijavanje, postupno povećanje težine, sigurnu podlogu, prostor i nadzor."
14,Kako trener procjenjuje preciznost izvedbe pokreta?,Preciznost najviše procjenjuje po tome koliko je publika glasna i koliko jako navija tijekom nastupa.,fail,"Odgovor brka reakciju publike s tehničkom preciznošću; trener zapravo gleda točnost, sinkronizaciju i linije, što ovdje nije spomenuto."
15,Zašto se prilikom treninga često koriste ogledala?,"Ogledala pomažu da mažoretkinje vide svoj položaj tijela, linije ruku i nogu te odmah isprave greške kako bi cijeli tim izgledao ujednačeno.",pass,Točno objašnjava da ogledala služe za vizualnu kontrolu i korekciju držanja i linija u realnom vremenu.
